plot_name,accession_name,female_parents,male_parents,location,plot_number,row_number,column_number,rep_number,is_a_check,germination_rate,CMD_1month,CMD_3month,CMD_6month,CMD_harvest,root_shape,root_type,root_skin_color,plot_weight, starch_content ,percentage_root_rot
2024206DMEPR_dona_rep1_VH22-0257_14,VH22-0257,CR24-16,NA,dona,14,1,14,1,0,0.8,1,,1,1,conical,2,cream,5.8,26.22,25.00
2024206DMEPR_dona_rep1_VF22-0121_15,VF22-0121,Rayong 11,AR35-1,dona,15,1,15,1,0,0.8,1,,1,1,NA,NA,NA,1.3,14.87,37.50
2024206DMEPR_dona_rep1_VF22-0144_16,VF22-0144,HL-S11,IBA980581,dona,16,1,16,1,0,0.7,1,,1,1,cylindrical,1,cream,19.5,24.5,14.29
2024206DMEPR_dona_rep1_VH22-0282_17,VH22-0282,CR24-16,NA,dona,17,2,16,1,0,0.8,1,,1,1,NA,NA,NA,NA, NA ,NA
2024206DMEPR_dona_rep1_VH22-0239_18,VH22-0239,CR24-16,NA,dona,18,2,15,1,0,0.8,1,,1,1,cylindrical,1,cream,7,10,12.50
2024206DMEPR_dona_rep1_Filler9_19,Filler9,NA,NA,dona,19,2,14,1,0,0.8,1,,1,1,cylindrical,2,brown,18,10,37.50
2024206DMEPR_dona_rep1_VF22-0031_20,VF22-0031,TMEB419,KU50,dona,20,2,13,1,0,1,1,,1,1,NA,NA,NA,NA, NA ,NA
2024206DMEPR_dona_rep1_VH22-0267_21,VH22-0267,CR24-16,NA,dona,21,2,12,1,0,1,1,,1,1,cylindrical,2,dark_brown,18,0.92,0.00
2024206DMEPR_dona_rep1_Filler1_22,Filler1,NA,NA,dona,22,2,11,1,0,0.9,1,,1,1,cylindrical,1,cream,32.2,23,11.11
2024206DMEPR_dona_rep1_Filler3_23,Filler3,NA,NA,dona,23,2,10,1,0,1,1,,1,1,cylindrical,1,dark_brown,43.4,27.6,0.00
2024206DMEPR_dona_rep1_VH22-0346_24,VH22-0346,TMEB419,NA,dona,24,2,9,1,0,1,1,,1,1,cylindrical,1,cream,16,30.3,40.00
2024206DMEPR_dona_rep1_VH22-0119_25,VH22-0119,IBA980581,NA,dona,25,2,8,1,0,0.9,1,,1,1,cylindrical,1,cream,22.8,23.7,0.00
2024206DMEPR_dona_rep1_VH22-0003_26,VH22-0003,IBA920057,NA,dona,26,2,7,1,0,0.4,1,,1,1,cylindrical,1,brown,9.6,26.1,0.00
2024206DMEPR_dona_rep1_VF22-0103_27,VF22-0103,HL-S11,IBA980581,dona,27,2,6,1,0,1,1,,1,1,cylindrical,2,cream,32,24.2,0.00
2024206DMEPR_dona_rep1_Filler5_28,Filler5,NA,NA,dona,28,2,5,1,0,1,1,,1,1,cylindrical,1,brown,41.6,28.5,0.00
2024206DMEPR_dona_rep1_VH22-0136_29,VH22-0136,IBA980581,NA,dona,29,2,4,1,0,1,1,,1,1,conical,1,dark_brown,41.4,29,0.00
2024206DMEPR_dona_rep1_IBA980581_30,IBA980581,NA,NA,dona,30,2,3,1,1,1,1,,1,1,cylindrical,1,cream,26.2,23.7,0.00
2024206DMEPR_dona_rep1_VF22-0130_31,VF22-0130,HL-S11,IBA980581,dona,31,2,2,1,0,1,1,,1,1,cylindrical,1,cream,40.8,25.4,0.00
2024206DMEPR_dona_rep1_VF22-0146_32,VF22-0146,HL-S11,IBA980581,dona,32,2,1,1,0,1,1,,1,1,cylindrical,2,cream,24.8,22.7,0.00
2024206DMEPR_dona_rep1_VF22-0101_33,VF22-0101,HL-S11,IBA980581,dona,33,3,1,1,0,0.8,1,,1,1,conical,3,brown,7,23.8,12.50
2024206DMEPR_dona_rep1_VH22-0120_34,VH22-0120,IBA980581,NA,dona,34,3,2,1,0,0.8,1,,1,1,cylindrical,2,cream,4.6,8.21,12.50
2024206DMEPR_dona_rep1_VH22-0280_35,VH22-0280,CR24-16,NA,dona,35,3,3,1,0,0.9,1,,1,1,cylindrical,1,brown,2,23.77,22.22
2024206DMEPR_dona_rep1_VF22-0098_36,VF22-0098,HL-S11,IBA980581,dona,36,3,4,1,0,1,1,,1,1,cylindrical,3,cream,45.8,23.7,0.00
2024206DMEPR_dona_rep1_VH22-0079_37,VH22-0079,Rayong11,NA,dona,37,3,5,1,0,1,1,,1,1,cylindrical,1,cream,33.8,25.5,0.00
2024206DMEPR_dona_rep1_VF22-0213_38,VF22-0213,CR27-20,HL-S11,dona,38,3,6,1,0,0.2,1,,1,1,NA,NA,NA,NA, NA ,NA
2024206DMEPR_dona_rep1_VH22-0010_39,VH22-0010,IBA920057,NA,dona,39,3,7,1,0,1,1,,1,1,cylindrical,1,cream,48,25,10.00
2024206DMEPR_dona_rep1_Filler6_40,Filler6,NA,NA,dona,40,3,8,1,0,0.7,1,,1,1,conical,3,brown,8.4,15.3,0.00
2024206DMEPR_dona_rep1_Filler11_41,Filler11,NA,NA,dona,41,3,9,1,0,1,1,,1,1,cylindrical,2,cream,15.6,11.4,60.00
2024206DMEPR_dona_rep1_VH22-0004_42,VH22-0004,IBA920057,NA,dona,42,3,10,1,0,1,1,,1,1,cylindrical,1,dark_brown,9,23,30.00
2024206DMEPR_dona_rep1_TMEB419_43,TMEB419,NA,NA,dona,43,3,11,1,1,1,1,,1,1,cylindrical,1,brown,18.4,19.4,50.00
2024206DMEPR_dona_rep1_VH22-0262_44,VH22-0262,CR24-16,NA,dona,44,3,12,1,0,0.6,1,,1,1,NA,NA,NA,1.8,15.55,16.67
2024206DMEPR_dona_rep1_VF22-0112_45,VF22-0112,KM419,TMEB419,dona,45,3,13,1,0,0.9,1,,1,1,cylindrical,2,cream,3.2,15.9,11.11
2024206DMEPR_dona_rep1_VF22-0157_46,VF22-0157,HL-S11,IBA980581,dona,46,3,14,1,0,0.8,1,,1,1,cylindrical,1,cream,12.8,14.3,50.00
2024206DMEPR_dona_rep1_VH22-0479_47,VH22-0479,CR27-20,NA,dona,47,3,15,1,0,0.6,1,,NA,NA,NA,NA,NA,NA, NA ,NA
2024206DMEPR_dona_rep1_VH22-0241_48,VH22-0241,CR24-16,NA,dona,48,3,16,1,0,1,1,,1,1,cylindrical,3,brown,17.6,18,10.00
2024206DMEPR_dona_rep1_CR24-16_49,CR24-16,NA,NA,dona,49,4,16,1,1,0.3,1,,1,1,NA,NA,NA,NA, NA ,NA
2024206DMEPR_dona_rep1_VH22-0511_50,VH22-0511,AR37-103,NA,dona,50,4,15,1,0,0.4,1,,1,1,cylindrical,1,cream,13.4,17.5,25.00
2024206DMEPR_dona_rep1_VF22-0005_51,VF22-0005,CR24-16,HL-S14,dona,51,4,14,1,0,0.7,1,,1,1,cylindrical,1,cream,16.4,16.2,28.57
2024206DMEPR_dona_rep1_VF22-0097_52,VF22-0097,HL-S11,IBA980581,dona,52,4,13,1,0,0.8,1,,1,1,cylindrical,1,dark_brown,14.2,23.1,12.50
2024206DMEPR_dona_rep1_VF22-0167_53,VF22-0167,HL-S11,IBA980581,dona,53,4,12,1,0,0.8,1,,1,1,cylindrical,3,cream,22.8,25.5,0.00
2024206DMEPR_dona_rep1_Filler10_54,Filler10,NA,NA,dona,54,4,11,1,0,1,1,,1,1,NA,NA,NA,NA, NA ,NA
